# # x1	 y1	 P
0.000000000000000000e+00	0.000000000000000000e+00	2.691585699999999995e-05
3.333332999999999956e-03	9.874913149999999806e-01	2.144596002000000341e-03
6.666667000000000252e-03	9.937372180000000332e-01	4.269053429000000538e-03
1.000000000000000021e-02	9.958367460000000504e-01	6.400302477000000337e-03
1.333333299999999930e-02	9.968898139999999852e-01	8.538357306999999966e-03
1.666666699999999959e-02	9.975227039999999823e-01	1.068323189100000084e-02
2.000000000000000042e-02	9.979450600000000504e-01	1.283494001299999993e-02
2.333333300000000124e-02	9.982469459999999684e-01	1.499349526000000148e-02
2.666666700000000154e-02	9.984734669999999479e-01	1.715891102099999926e-02
2.999999999999999889e-02	9.986497100000000238e-01	1.933120048100000002e-02
3.333333299999999971e-02	9.987907379999999558e-01	2.151037661500000350e-02
3.666666700000000001e-02	9.989061439999999958e-01	2.369645218599999992e-02
4.000000000000000083e-02	9.990023279999999950e-01	2.588943973699999943e-02
4.333333300000000166e-02	9.990837200000000085e-01	2.808935159000000223e-02
4.666666700000000195e-02	9.991534869999999513e-01	3.029619983900000424e-02
5.000000000000000278e-02	9.992139530000000436e-01	3.250999634200000404e-02
5.333333299999999666e-02	9.992668590000000073e-01	3.473075272099999944e-02
5.666666699999999696e-02	9.993135399999999446e-01	3.695848035600000220e-02
5.999999999999999778e-02	9.993550310000000048e-01	3.919319037700000341e-02
6.333333300000000554e-02	9.993921510000000064e-01	4.143489365800000213e-02
6.666666699999999890e-02	9.994255570000000199e-01	4.368360081800000405e-02
7.000000000000000666e-02	9.994557769999999897e-01	4.593932221000000121e-02
7.333333300000000055e-02	9.994832470000000191e-01	4.820206791500000060e-02
7.666666699999999390e-02	9.995083240000000036e-01	5.047184773999999902e-02
8.000000000000000167e-02	9.995313080000000072e-01	5.274867121099999917e-02
8.333333299999999555e-02	9.995524489999999540e-01	5.503254756500000622e-02
8.666666700000000279e-02	9.995719610000000088e-01	5.732348574799999569e-02
8.999999999999999667e-02	9.995900239999999659e-01	5.962149440700000025e-02
9.333333300000000443e-02	9.996067929999999935e-01	6.192658188299999394e-02
9.666666699999999779e-02	9.996224019999999655e-01	6.423875620600000280e-02
1.000000000000000056e-01	9.996369670000000429e-01	6.655802509100000597e-02
1.033333329999999994e-01	9.996505890000000338e-01	6.888439592800001121e-02
1.066666670000000067e-01	9.996633560000000029e-01	7.121787577699999205e-02
1.100000000000000006e-01	9.996753459999999647e-01	7.355847136199999969e-02
1.133333329999999944e-01	9.996866269999999943e-01	7.590618906900001295e-02
1.166666670000000017e-01	9.996972610000000037e-01	7.826103493000001465e-02
1.199999999999999956e-01	9.997073010000000481e-01	8.062301462200001378e-02
1.233333330000000033e-01	9.997167949999999914e-01	8.299213346100001165e-02
1.266666670000000106e-01	9.997257859999999496e-01	8.536839639399999846e-02
1.300000000000000044e-01	9.997343140000000128e-01	8.775180798999999976e-02
1.333333329999999983e-01	9.997424120000000247e-01	9.014237243799999577e-02
1.366666669999999917e-01	9.997501119999999686e-01	9.254009353300000906e-02
1.400000000000000133e-01	9.997574430000000234e-01	9.494497467600000740e-02
1.433333330000000072e-01	9.997644300000000372e-01	9.735701886200000266e-02
1.466666670000000006e-01	9.997710960000000258e-01	9.977622867400000317e-02
1.499999999999999944e-01	9.997774640000000046e-01	1.022026062760000020e-01
1.533333329999999883e-01	9.997835520000000198e-01	1.046361534050000153e-01
1.566666670000000094e-01	9.997893789999999781e-01	1.070768713620000034e-01
1.600000000000000033e-01	9.997949600000000103e-01	1.095247610090000073e-01
1.633333329999999972e-01	9.998003109999999971e-01	1.119798227530000162e-01
1.666666669999999906e-01	9.998054450000000148e-01	1.144420565480000068e-01
1.700000000000000122e-01	9.998103760000000007e-01	1.169114618789999921e-01
1.733333330000000061e-01	9.998151140000000048e-01	1.193880377570000068e-01
1.766666669999999995e-01	9.998196719999999926e-01	1.218717827120000124e-01
1.799999999999999933e-01	9.998240579999999600e-01	1.243626947800000049e-01
1.833333329999999872e-01	9.998282819999999571e-01	1.268607715020000082e-01
1.866666670000000083e-01	9.998323540000000342e-01	1.293660099089999904e-01
1.900000000000000022e-01	9.998362800000000217e-01	1.318784065159999963e-01
1.933333329999999961e-01	9.998400680000000262e-01	1.343979573129999994e-01
1.966666669999999895e-01	9.998437260000000437e-01	1.369246577550000121e-01
2.000000000000000111e-01	9.998472600000000154e-01	1.394585027549999912e-01
2.033333330000000050e-01	9.998506759999999938e-01	1.419994866770000197e-01
2.066666669999999983e-01	9.998539800000000310e-01	1.445476033200000232e-01
2.099999999999999922e-01	9.998571760000000141e-01	1.471028459150000023e-01
2.133333330000000139e-01	9.998602709999999671e-01	1.496652071120000149e-01
2.166666670000000072e-01	9.998632680000000272e-01	1.522346789729999983e-01
2.200000000000000011e-01	9.998661730000000247e-01	1.548112529610000121e-01
2.233333329999999950e-01	9.998689889999999858e-01	1.573949199310000213e-01
2.266666669999999884e-01	9.998717200000000194e-01	1.599856701200000064e-01
2.300000000000000100e-01	9.998743700000000123e-01	1.625834931360000124e-01
2.333333330000000039e-01	9.998769419999999908e-01	1.651883779510000261e-01
2.366666669999999972e-01	9.998794399999999527e-01	1.678003128870000082e-01
2.399999999999999911e-01	9.998818659999999525e-01	1.704192856090000208e-01
2.433333330000000128e-01	9.998842249999999598e-01	1.730452831130000202e-01
2.466666670000000061e-01	9.998865169999999747e-01	1.756782917140000122e-01
2.500000000000000000e-01	9.998887469999999666e-01	1.783182970410000234e-01
2.533333329999999939e-01	9.998909160000000185e-01	1.809652840200000057e-01
2.566666670000000150e-01	9.998930270000000453e-01	1.836192368660000129e-01
2.600000000000000089e-01	9.998950819999999906e-01	1.862801390730000062e-01
2.633333330000000028e-01	9.998970839999999916e-01	1.889479734010000023e-01
2.666666670000000239e-01	9.998990330000000482e-01	1.916227218660000176e-01
2.700000000000000178e-01	9.999009330000000473e-01	1.943043657290000059e-01
2.733333330000000116e-01	9.999027849999999606e-01	1.969928854830000076e-01
2.766666669999999773e-01	9.999045899999999820e-01	1.996882608440000151e-01
2.800000000000000266e-01	9.999063510000000266e-01	2.023904707330000108e-01
2.833333330000000205e-01	9.999080679999999832e-01	2.050994932810000226e-01
2.866666669999999861e-01	9.999097439999999892e-01	2.078153057950000160e-01
2.899999999999999800e-01	9.999113800000000163e-01	2.105378847569999989e-01
2.933333329999999739e-01	9.999129770000000361e-01	2.132672058159999773e-01
2.966666669999999950e-01	9.999145360000000204e-01	2.160032437689999862e-01
2.999999999999999889e-01	9.999160590000000237e-01	2.187459725489999951e-01
3.033333329999999828e-01	9.999175470000000177e-01	2.214953652159999953e-01
3.066666670000000039e-01	9.999190009999999740e-01	2.242513939450000160e-01
3.099999999999999978e-01	9.999204219999999754e-01	2.270140300059999838e-01
3.133333329999999917e-01	9.999218119999999654e-01	2.297832437610000111e-01
3.166666670000000128e-01	9.999231699999999723e-01	2.325590046440000336e-01
3.200000000000000067e-01	9.999244990000000222e-01	2.353412811510000313e-01
3.233333330000000005e-01	9.999257990000000040e-01	2.381300408250000278e-01
3.266666670000000217e-01	9.999270710000000006e-01	2.409252502460000056e-01
3.300000000000000155e-01	9.999283150000000120e-01	2.437268750119999938e-01
3.333333330000000094e-01	9.999295339999999532e-01	2.465348797329999786e-01
3.366666669999999750e-01	9.999307259999999919e-01	2.493492280090000013e-01
3.400000000000000244e-01	9.999318940000000433e-01	2.521698824240000136e-01
3.433333330000000183e-01	9.999330379999999963e-01	2.549968045270000205e-01
3.466666669999999839e-01	9.999341579999999619e-01	2.578299548179999734e-01
3.499999999999999778e-01	9.999352550000000228e-01	2.606692927380000468e-01
3.533333330000000272e-01	9.999363300000000399e-01	2.635147766500000599e-01
3.566666669999999928e-01	9.999373839999999847e-01	2.663663638259999855e-01
3.599999999999999867e-01	9.999384169999999683e-01	2.692240104370000053e-01
3.633333329999999806e-01	9.999394289999999907e-01	2.720876715309999971e-01
3.666666670000000017e-01	9.999404210000000237e-01	2.749573010210000223e-01
3.699999999999999956e-01	9.999413950000000106e-01	2.778328516740000143e-01
3.733333329999999894e-01	9.999423490000000081e-01	2.807142750919999763e-01
3.766666670000000106e-01	9.999432849999999595e-01	2.836015216970000363e-01
3.800000000000000044e-01	9.999442039999999476e-01	2.864945407160000013e-01
3.833333329999999983e-01	9.999451050000000008e-01	2.893932801669999999e-01
3.866666670000000194e-01	9.999459889999999795e-01	2.922976868440000375e-01
3.900000000000000133e-01	9.999468569999999668e-01	2.952077062969999943e-01
3.933333330000000072e-01	9.999477079999999907e-01	2.981232828220000131e-01
3.966666669999999728e-01	9.999485439999999947e-01	3.010443594430000092e-01
4.000000000000000222e-01	9.999493649999999789e-01	3.039708778940000133e-01
4.033333330000000161e-01	9.999501710000000543e-01	3.069027786060000151e-01
4.066666669999999817e-01	9.999509619999999988e-01	3.098400006880000501e-01
4.099999999999999756e-01	9.999517390000000061e-01	3.127824819130000100e-01
4.133333330000000250e-01	9.999525030000000481e-01	3.157301587049999858e-01
4.166666669999999906e-01	9.999532519999999591e-01	3.186829661140000436e-01
4.199999999999999845e-01	9.999539889999999875e-01	3.216408378040000460e-01
4.233333329999999783e-01	9.999547130000000505e-01	3.246037060380000394e-01
4.266666669999999995e-01	9.999554240000000371e-01	3.275715016580000305e-01
4.299999999999999933e-01	9.999561230000000300e-01	3.305441540719999960e-01
4.333333329999999872e-01	9.999568100000000292e-01	3.335215912319999809e-01
4.366666670000000083e-01	9.999574850000000348e-01	3.365037396210000531e-01
4.400000000000000022e-01	9.999581480000000466e-01	3.394905242350000352e-01
4.433333329999999961e-01	9.999588010000000082e-01	3.424818685630000026e-01
4.466666670000000172e-01	9.999594419999999761e-01	3.454776945740000160e-01
4.500000000000000111e-01	9.999600730000000048e-01	3.484779226970000088e-01
4.533333330000000050e-01	9.999606930000000116e-01	3.514824718030000184e-01
4.566666670000000261e-01	9.999613029999999680e-01	3.544912591880000075e-01
4.600000000000000200e-01	9.999619029999999853e-01	3.575042005560000180e-01
4.633333330000000139e-01	9.999624929999999523e-01	3.605212100019999921e-01
4.666666669999999795e-01	9.999630739999999518e-01	3.635421999900000367e-01
4.699999999999999734e-01	9.999636450000000121e-01	3.665670813410000228e-01
4.733333330000000227e-01	9.999642069999999938e-01	3.695957632090000056e-01
4.766666669999999884e-01	9.999647590000000363e-01	3.726281530630000116e-01
4.799999999999999822e-01	9.999653029999999720e-01	3.756641566850000280e-01
4.833333329999999761e-01	9.999658380000000513e-01	3.787036781249999984e-01
4.866666669999999972e-01	9.999663650000000237e-01	3.817466197000000117e-01
4.899999999999999911e-01	9.999668840000000003e-01	3.847928819720000115e-01
4.933333329999999850e-01	9.999673940000000094e-01	3.878423637300000282e-01
4.966666670000000061e-01	9.999678960000000227e-01	3.908949619720000213e-01
5.000000000000000000e-01	9.999683910000000120e-01	3.939505718860000227e-01
5.033333330000000494e-01	9.999688770000000337e-01	3.970090868239999904e-01
5.066666669999999595e-01	9.999693570000000031e-01	4.000703982950000182e-01
5.100000000000000089e-01	9.999698280000000050e-01	4.031343959520000686e-01
5.133333329999999473e-01	9.999702929999999546e-01	4.062009675490000360e-01
5.166666669999999684e-01	9.999707500000000193e-01	4.092699989430000351e-01
5.200000000000000178e-01	9.999712010000000317e-01	4.123413740690000107e-01
5.233333329999999561e-01	9.999716450000000201e-01	4.154149749190000351e-01
5.266666669999999773e-01	9.999720819999999843e-01	4.184906815280000081e-01
5.300000000000000266e-01	9.999725120000000356e-01	4.215683719540000429e-01
5.333333329999999650e-01	9.999729360000000344e-01	4.246479222570000434e-01
5.366666669999999861e-01	9.999733530000000092e-01	4.277292064809999905e-01
5.400000000000000355e-01	9.999737650000000144e-01	4.308120966389999973e-01
5.433333329999999739e-01	9.999741699999999955e-01	4.338964626900000399e-01
5.466666669999999950e-01	9.999745690000000353e-01	4.369821725210000229e-01
5.500000000000000444e-01	9.999749620000000228e-01	4.400690919329999784e-01
5.533333329999999828e-01	9.999753500000000406e-01	4.431570846160000077e-01
5.566666670000000039e-01	9.999757310000000343e-01	4.462460121360000143e-01
5.600000000000000533e-01	9.999761080000000302e-01	4.493357339090000568e-01
5.633333329999999917e-01	9.999764780000000020e-01	4.524261072000000383e-01
5.666666670000000128e-01	9.999768439999999758e-01	4.555169870830000356e-01
5.699999999999999512e-01	9.999772040000000084e-01	4.586082264360000771e-01
5.733333330000000005e-01	9.999775579999999886e-01	4.616996759190000743e-01
5.766666670000000217e-01	9.999779079999999709e-01	4.647911839569999759e-01
5.799999999999999600e-01	9.999782529999999836e-01	4.678825967249999884e-01
5.833333330000000094e-01	9.999785920000000550e-01	4.709737581130000184e-01
5.866666670000000305e-01	9.999789270000000174e-01	4.740645097610000636e-01
5.899999999999999689e-01	9.999792570000000103e-01	4.771546909670000280e-01
5.933333330000000183e-01	9.999795820000000335e-01	4.802441387179999799e-01
5.966666670000000394e-01	9.999799029999999478e-01	4.833326876660000715e-01
5.999999999999999778e-01	9.999802190000000035e-01	4.864201701099999942e-01
6.033333330000000272e-01	9.999805299999999786e-01	4.895064159560000294e-01
6.066666670000000483e-01	9.999808380000000385e-01	4.925912527440000632e-01
6.099999999999999867e-01	9.999811400000000461e-01	4.956745056020000484e-01
6.133333330000000361e-01	9.999814390000000275e-01	4.987559972380000151e-01
6.166666669999999462e-01	9.999817330000000393e-01	5.018355479230000027e-01
6.199999999999999956e-01	9.999820240000000249e-01	5.049129754769999812e-01
6.233333330000000450e-01	9.999823100000000409e-01	5.079880952549999940e-01
6.266666669999999550e-01	9.999825919999999480e-01	5.110607201310000125e-01
6.300000000000000044e-01	9.999828699999999682e-01	5.141306604790000234e-01
6.333333330000000538e-01	9.999831449999999622e-01	5.171977241769999400e-01
6.366666669999999639e-01	9.999834149999999866e-01	5.202617165680000211e-01
6.400000000000000133e-01	9.999836819999999848e-01	5.233224404670000496e-01
6.433333329999999517e-01	9.999839449999999852e-01	5.263796961390000417e-01
