# # x1	 y1	 P
0.000000000000000000e+00	0.000000000000000000e+00	3.629480000000000019e-07
3.333332999999999956e-03	9.995834510000000117e-01	8.684034030000000294e-04
6.666667000000000252e-03	9.997935679999999659e-01	1.746389341000000256e-03
1.000000000000000021e-02	9.998636210000000357e-01	2.634426390000000218e-03
1.333333299999999930e-02	9.998986460000000021e-01	3.532620990000000585e-03
1.666666699999999959e-02	9.999196590000000162e-01	4.441080382999999798e-03
2.000000000000000042e-02	9.999336640000000553e-01	5.359912609000000265e-03
2.333333300000000124e-02	9.999436659999999533e-01	6.289226505000000342e-03
2.666666700000000154e-02	9.999511650000000307e-01	7.229131694000000448e-03
2.999999999999999889e-02	9.999569959999999869e-01	8.179738582999999605e-03
3.333333299999999971e-02	9.999616590000000027e-01	9.141158355000001540e-03
3.666666700000000001e-02	9.999654719999999664e-01	1.011350295999999954e-02
4.000000000000000083e-02	9.999686479999999600e-01	1.109688511200000033e-02
4.333333300000000166e-02	9.999713340000000450e-01	1.209141827800000110e-02
4.666666700000000195e-02	9.999736350000000273e-01	1.309721666899999956e-02
5.000000000000000278e-02	9.999756279999999498e-01	1.411439523500000216e-02
5.333333299999999666e-02	9.999773699999999765e-01	1.514306965200000119e-02
5.666666699999999696e-02	9.999789070000000279e-01	1.618335631200000166e-02
5.999999999999999778e-02	9.999802719999999479e-01	1.723537231400000189e-02
6.333333300000000554e-02	9.999814919999999718e-01	1.829923545200000043e-02
6.666666699999999890e-02	9.999825890000000328e-01	1.937506420599999918e-02
7.000000000000000666e-02	9.999835799999999830e-01	2.046297772300000040e-02
7.333333300000000055e-02	9.999844810000000361e-01	2.156309581300000153e-02
7.666666699999999390e-02	9.999853029999999920e-01	2.267553892800000179e-02
8.000000000000000167e-02	9.999860550000000403e-01	2.380042815300000003e-02
8.333333299999999555e-02	9.999867460000000374e-01	2.493788518600000004e-02
8.666666700000000279e-02	9.999873830000000074e-01	2.608803233000000013e-02
8.999999999999999667e-02	9.999879729999999745e-01	2.725099246799999805e-02
9.333333300000000443e-02	9.999885189999999646e-01	2.842688905499999794e-02
9.666666699999999779e-02	9.999890280000000020e-01	2.961584609100000043e-02
1.000000000000000056e-01	9.999895009999999473e-01	3.081798811400000490e-02
1.033333329999999994e-01	9.999899439999999640e-01	3.203344016899999785e-02
1.066666670000000067e-01	9.999903580000000236e-01	3.326232779900000630e-02
1.100000000000000006e-01	9.999907470000000131e-01	3.450477701699999900e-02
1.133333329999999944e-01	9.999911120000000153e-01	3.576091428900000230e-02
1.166666670000000017e-01	9.999914559999999453e-01	3.703086650899999749e-02
1.199999999999999956e-01	9.999917799999999968e-01	3.831476097900000238e-02
1.233333330000000033e-01	9.999920860000000022e-01	3.961272538399999987e-02
1.266666670000000106e-01	9.999923750000000444e-01	4.092488776700000525e-02
1.300000000000000044e-01	9.999926489999999557e-01	4.225137650300000297e-02
1.333333329999999983e-01	9.999929090000000409e-01	4.359232027800000187e-02
1.366666669999999917e-01	9.999931560000000497e-01	4.494784805400000444e-02
1.400000000000000133e-01	9.999933899999999820e-01	4.631808904700000090e-02
1.433333330000000072e-01	9.999936130000000034e-01	4.770317269600000271e-02
1.466666670000000006e-01	9.999938259999999746e-01	4.910322863400000404e-02
1.499999999999999944e-01	9.999940280000000348e-01	5.051838665500000408e-02
1.533333329999999883e-01	9.999942219999999882e-01	5.194877668899999801e-02
1.566666670000000094e-01	9.999944060000000023e-01	5.339452875900000534e-02
1.600000000000000033e-01	9.999945829999999924e-01	5.485577295800000280e-02
1.633333329999999972e-01	9.999947519999999868e-01	5.633263940700000000e-02
1.666666669999999906e-01	9.999949139999999570e-01	5.782525822500000912e-02
1.700000000000000122e-01	9.999950690000000142e-01	5.933375948700000263e-02
1.733333330000000061e-01	9.999952180000000190e-01	6.085827319400000796e-02
1.766666669999999995e-01	9.999953609999999715e-01	6.239892922700000094e-02
1.799999999999999933e-01	9.999954979999999827e-01	6.395585731100000837e-02
1.833333329999999872e-01	9.999956290000000525e-01	6.552918697600000619e-02
1.866666670000000083e-01	9.999957560000000134e-01	6.711904751300000471e-02
1.900000000000000022e-01	9.999958780000000047e-01	6.872556793100000061e-02
1.933333329999999961e-01	9.999959950000000264e-01	7.034887691800000009e-02
1.966666669999999895e-01	9.999961090000000219e-01	7.198910279000000911e-02
2.000000000000000111e-01	9.999962169999999650e-01	7.364637344900000493e-02
2.033333330000000050e-01	9.999963229999999648e-01	7.532081633600000437e-02
2.066666669999999983e-01	9.999964239999999949e-01	7.701255838199999593e-02
2.099999999999999922e-01	9.999965219999999988e-01	7.872172595900001069e-02
2.133333330000000139e-01	9.999966160000000048e-01	8.044844483200000451e-02
2.166666670000000072e-01	9.999967069999999847e-01	8.219284010300000054e-02
